DataRate,Payload Size,No of Stations,No of Slots,Beacon Interval,Throughput,Simulation Time 
0.65,256,30,5,71680,0.263314,3
0.65,256,40,5,71680,0.272156,3
0.65,256,50,5,71680,0.277969,3
0.65,256,60,5,71680,0.281836,3
0.65,256,70,5,71680,0.285082,3
0.65,256,80,5,71680,0.285997,3
0.65,256,90,5,71680,0.288121,3
0.65,256,100,5,71680,0.288183,3
0.65,256,110,5,71680,0.276395,3
0.65,256,120,5,71680,0.287949,3
0.65,256,130,5,71680,0.276626,3
0.65,256,140,5,71680,0.267231,3
0.65,256,150,5,71680,0.277824,3
0.65,256,160,5,71680,0.274312,3
0.65,256,170,5,71680,0.269561,3
0.65,256,180,5,71680,0.276857,3
0.65,256,190,5,71680,0.269824,3
0.65,256,200,5,71680,0.270531,3
0.65,256,210,5,71680,0.262599,3
0.65,256,220,5,71680,0.258963,3
0.65,256,230,5,71680,0.270685,3
0.65,256,240,5,71680,0.259482,3
0.65,256,250,5,71680,0.251904,3
0.65,256,260,5,71680,0.252321,3
0.65,256,270,5,71680,0.250251,3
0.65,256,280,5,71680,0.261083,3
0.65,256,290,5,71680,0.242219,3
0.65,256,300,5,71680,0.239974,3
0.65,256,310,5,71680,0.240656,3
0.65,256,320,5,71680,0.225973,3
0.65,256,330,5,71680,0.235173,3
0.65,256,340,5,71680,0.2382,3
0.65,256,350,5,71680,0.22253,3
0.65,256,360,5,71680,0.230761,3
0.65,256,370,5,71680,0.241723,3
0.65,256,380,5,71680,0.239727,3
0.65,256,390,5,71680,0.222354,3
0.65,256,400,5,71680,0.226424,3
0.65,256,410,5,71680,0.22261,3
0.65,256,420,5,71680,0.22144,3
0.65,256,430,5,71680,0.229218,3
0.65,256,440,5,71680,0.225204,3
0.65,256,450,5,71680,0.217297,3
0.65,256,460,5,71680,0.219256,3
0.65,256,470,5,71680,0.208714,3
0.65,256,480,5,71680,0.206708,3
0.65,256,490,5,71680,0.213971,3
0.65,256,500,5,71680,0.203742,3
0.65,256,30,10,71680,0.230144,3
0.65,256,40,10,71680,0.245146,3
0.65,256,50,10,71680,0.255317,3
0.65,256,60,10,71680,0.26229,3
0.65,256,70,10,71680,0.26816,3
0.65,256,80,10,71680,0.271246,3
0.65,256,90,10,71680,0.275354,3
0.65,256,100,10,71680,0.277597,3
0.65,256,110,10,71680,0.27904,3
0.65,256,120,10,71680,0.280812,3
0.65,256,130,10,71680,0.282039,3
0.65,256,140,10,71680,0.274961,3
0.65,256,150,10,71680,0.282432,3
0.65,256,160,10,71680,0.276539,3
0.65,256,170,10,71680,0.276978,3
0.65,256,180,10,71680,0.27732,3
0.65,256,190,10,71680,0.279127,3
0.65,256,200,10,71680,0.2715,3
0.65,256,210,10,71680,0.279347,3
0.65,256,220,10,71680,0.283292,3
0.65,256,230,10,71680,0.278779,3
0.65,256,240,10,71680,0.284467,3
